epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,122.887,1.63922,4.75265,1.27087,0,0,0,0,1.5724,4.56362,1.15075,0.0001428,4.76e-05,0.0001428,4.76e-05,0.0001428,4.76e-05,0.0001428,4.76e-05
2,208.149,1.6149,4.71153,1.2408,0,0,0,0,1.53305,4.54286,1.12885,0.000288005,9.60016e-05,0.000288005,9.60016e-05,0.000288005,9.60016e-05,0.000288005,9.60016e-05
3,264.535,1.51027,4.64826,1.18097,0,0,0,0,1.49859,4.53408,1.1154,0.000420769,0.000140256,0.000420769,0.000140256,0.000420769,0.000140256,0.000420769,0.000140256
4,320.84,1.49022,4.54991,1.14092,0,0,0,0,1.46768,4.51137,1.09854,0.000541092,0.000180364,0.000541092,0.000180364,0.000541092,0.000180364,0.000541092,0.000180364
5,378.271,1.42942,4.43029,1.12782,0,0,0,0,1.37727,4.46539,1.06743,0.000648975,0.000216325,0.000648975,0.000216325,0.000648975,0.000216325,0.000648975,0.000216325
6,429.402,1.41651,4.32855,1.10165,0,0,0,0,1.33609,4.41695,1.05721,0.000744416,0.000248139,0.000744416,0.000248139,0.000744416,0.000248139,0.000744416,0.000248139
7,484.932,1.41376,4.24522,1.0884,0,0,0,0,1.29371,4.31393,1.03938,0.000827417,0.000275806,0.000827417,0.000275806,0.000827417,0.000275806,0.000827417,0.000275806
8,533.183,1.40608,4.07668,1.05313,0,0,0,0,1.27703,4.23951,1.03,0.000897978,0.000299326,0.000897978,0.000299326,0.000897978,0.000299326,0.000897978,0.000299326
9,612.58,1.43486,3.99966,1.0605,0.46087,0.46903,0.50991,0.32604,1.25968,4.02296,1.01804,0.000956097,0.000318699,0.000956097,0.000318699,0.000956097,0.000318699,0.000956097,0.000318699
10,671.555,1.40927,3.90763,1.03197,0.48128,0.79646,0.80354,0.51272,1.27342,3.87316,1.02353,0.000919061,0.000306354,0.000919061,0.000306354,0.000919061,0.000306354,0.000919061,0.000306354
11,731.933,1.35154,3.6286,1.07237,0.45082,0.97345,0.93717,0.59011,1.27536,3.68588,1.02365,0.000862512,0.000287504,0.000862512,0.000287504,0.000862512,0.000287504,0.000862512,0.000287504
12,802.644,1.36702,3.53627,1.03596,0.33939,0.99115,0.99113,0.62436,1.28448,3.25294,1.03325,0.000805963,0.000268654,0.000805963,0.000268654,0.000805963,0.000268654,0.000805963,0.000268654
13,860.765,1.41405,3.3982,1.05658,0.30376,1,0.99215,0.62805,1.28294,3.0092,1.03508,0.000749414,0.000249805,0.000749414,0.000249805,0.000749414,0.000249805,0.000749414,0.000249805
14,919.071,1.42996,3.22996,1.05847,0.97735,0.99115,0.99256,0.62871,1.28536,2.7897,1.03634,0.000692866,0.000230955,0.000692866,0.000230955,0.000692866,0.000230955,0.000692866,0.000230955
15,992.08,1.3994,3.11258,1.04467,1,0.76078,0.99236,0.62036,1.29221,2.28514,1.04065,0.000636317,0.000212106,0.000636317,0.000212106,0.000636317,0.000212106,0.000636317,0.000212106
16,1035.69,1.42269,2.78985,1.07976,1,0.84488,0.9942,0.61608,1.29441,2.03101,1.04131,0.000579768,0.000193256,0.000579768,0.000193256,0.000579768,0.000193256,0.000579768,0.000193256
17,1082.44,1.38921,2.61501,1.05354,0.99088,0.96104,0.99341,0.61238,1.29961,1.59835,1.04722,0.000523219,0.000174406,0.000523219,0.000174406,0.000523219,0.000174406,0.000523219,0.000174406
18,1119.82,1.38032,2.46002,1.06622,0.99097,0.97155,0.99354,0.61473,1.30439,1.45147,1.05069,0.00046667,0.000155557,0.00046667,0.000155557,0.00046667,0.000155557,0.00046667,0.000155557
19,1156.57,1.4347,2.3346,1.07565,0.99097,0.97116,0.99347,0.61579,1.30545,1.34587,1.05271,0.000410122,0.000136707,0.000410122,0.000136707,0.000410122,0.000136707,0.000410122,0.000136707
20,1210.15,1.35964,2.21016,1.05555,0.99341,0.9646,0.99413,0.61169,1.3118,1.21576,1.05737,0.000353573,0.000117858,0.000353573,0.000117858,0.000353573,0.000117858,0.000353573,0.000117858
21,1247.7,1.4232,2.18464,1.08891,0.99499,0.9646,0.99422,0.61279,1.31341,1.17401,1.05925,0.000297024,9.9008e-05,0.000297024,9.9008e-05,0.000297024,9.9008e-05,0.000297024,9.9008e-05
22,1285.41,1.37445,2.0599,1.08096,1,0.96212,0.99421,0.61144,1.31636,1.15421,1.06049,0.000240475,8.01584e-05,0.000240475,8.01584e-05,0.000240475,8.01584e-05,0.000240475,8.01584e-05
23,1333.42,1.3609,2.06833,1.06832,0.98225,0.97928,0.9943,0.61487,1.32018,1.12982,1.06159,0.000183926,6.13088e-05,0.000183926,6.13088e-05,0.000183926,6.13088e-05,0.000183926,6.13088e-05
24,1372.87,1.39018,1.97093,1.05654,0.98228,0.98121,0.9943,0.61543,1.3197,1.12604,1.06209,0.000127378,4.24592e-05,0.000127378,4.24592e-05,0.000127378,4.24592e-05,0.000127378,4.24592e-05
